 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare.unity
 0 kb	 0.0% Assets/Resources_moved/Prefabs/neededWorkField.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Blanket3.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Bed_regulative.prefab
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Clipboard.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/SplitWall.fbx
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/Lightmap-2_comp_light.exr
 0 kb	 0.0% Assets/Resources/Animations/objects/cloth_rigged.controller
 0 kb	 0.0% Assets/Resources_moved/Textures/MedicineBagTextureTransparent.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Flashlight.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/hygienePumpNorm.png
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/Lightmap-3_comp_light.exr
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Cabinet.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Prefabs/Hospital furniture 1.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Blanket2_Bottom.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/water_sink/Material.mat
 0 kb	 0.0% Assets/Resources_moved/Models/alcoholBottleOpened.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Chairs2_lowpoly.prefab
 0 kb	 0.0% Assets/Resources_moved/Materials/ampouleDiff.mat
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_textures/skyX53-x.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/Buildings_jpg.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Underwear_Metallic.png
 0 kb	 0.0% Assets/Resources_moved/Models/hygiene_pump.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/BodyArmsLegs_Diffuse.png
 0 kb	 0.0% Assets/Resources/FPArms_Female-Light_COL.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/CottonSwabHead.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/MagazineSide.mat
 0 kb	 0.0% Assets/Loading Screen/Content/Art/UI/box.psd
 0 kb	 0.0% Assets/Resources_moved/Models/scissors_bandaging_woundCare.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/SpoonMat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/PantsLow_low_PantsMaterial_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Models/BrushProthesis.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SyringeWithSolvent.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Magazine.fbx
 0 kb	 0.0% Assets/Resources/Animations/rest/BlanketEmpty.controller
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/BodyArmsLegs+Genitals_Diffuse_v3.png
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Wardrobe.FBX
 0 kb	 0.0% Assets/Resources_moved/Prefabs/ClothWithAmpouleTop2.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/metallic chair.mat
 0 kb	 0.0% Assets/Resources_moved/Models/GauzeSmall.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/T-ShirtModel3_low_PatientT-Shirt_var5_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/StomaPlaster.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/LampLight.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Supplies.FBX
 0 kb	 0.0% Assets/Resources_moved/Materials/catheter_bag/catheter_bag_tube.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/catheter_bag_diff.png
 0 kb	 0.0% Assets/Standard Assets/Added Models/Prefabs/Cloth/Cloth.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BladderSpoolBagTube.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/FineWood_NORM.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/DesinfectionCloth.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/HeadAndFace_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Models/Flashlight.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Phone.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/cloth_with_Scissors.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TweezersMat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TrayCloth.mat
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/WalkToGroups/PatientPos.prefab
 0 kb	 0.0% Assets/Resources/Animations/objects/BrushProthesis_Big.controller
 0 kb	 0.0% Assets/Resources_moved/Textures/PhoneTexture.jpg
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Underwear_Albedo.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/BodyArmsLegs_RoughnessModified2.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/FlashlightMetalic.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/pillow N.png
 0 kb	 0.0% Assets/Standard Assets/Added Models/Prefabs/Cloth/Cloth.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/ampouleDiff.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/_Teeth_TongueMat.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/soap_dispenser/soap_dispenser.004.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Blanket2.fbx
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Prefabs/Supplies.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/tv.mat
 0 kb	 0.0% Assets/GUI Kit Mono Round/_PNG/00_Title/menu_ranking.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/_HairMat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/PatientT-ShirtMat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/HolderLeg.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/TrashBucketWithCannula.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/MedicineDropper.fbx
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Prefabs/Bottle.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/Shoes_D_Normal.png
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/Lightmap-0_comp_light.exr
 0 kb	 0.0% Assets/Resources_moved/Prefabs/MedicineBag.prefab
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/paper.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/gloveBox.prefab
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Clipboard.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/cloth.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/CannulaFilter.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Plate.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/Flashlight_Roughnes.png
 0 kb	 0.0% Assets/Resources_moved/Models/BladderSpoolBag.fbx
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Plant.prefab
 0 kb	 0.0% Assets/Resources_moved/PlayerAnimartion/Actions_Dialogs.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Backplate.fbx
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/Switch material.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/SinkHolePlack.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/catheter_bag.prefab
 0 kb	 0.0% Assets/Resources/Audio/Injection/BirdSounds.mp3
 0 kb	 0.0% Assets/Resources_moved/Models/alcoholBottle.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/TeethToung_Diffuse.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoorWindow.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/Clipboard.png
 0 kb	 0.0% Assets/Resources_moved/Textures/pillow_jpg.jpg
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/screen4.mat
 0 kb	 0.0% Assets/Resources_moved/Models/syringePlunger.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/FilterBody.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/RailCurtains.prefab
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SideObjects.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/01 - Default.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Handle_material.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Chair 2.FBX
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Sink.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/Cannula.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/HospitalCurtains.prefab
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/Lightmap-5_comp_light.exr
 0 kb	 0.0% Assets/Resources_moved/Textures/ampouleNorm.png
 0 kb	 0.0% Assets/Resources_moved/Textures/EmptyTransparent 1.png
 0 kb	 0.0% Assets/Resources_moved/Materials/safe_needle_Blue_diff.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Hospital furniture 1.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/embed_hair_male_Diffuse+alpha.tga
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Floor lamp.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/towlDisp_Diff.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/_BodyArmsLegsMat.mat
 0 kb	 0.0% Assets/Resources/Sprites/logo-CareUp_New_Onlylogo256.png
 0 kb	 0.0% Assets/Resources_moved/Textures/soap_dispenser_color.jpg
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BottlesAndBag.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/GreenTowel_S.jpg
 0 kb	 0.0% Assets/Resources_moved/Prefabs/PlayerSpawn.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TwoPartsCannula.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/IV_Pole_UV.jpg
 0 kb	 0.0% Assets/Resources_moved/Textures/syringePlungerDiff.png
 0 kb	 0.0% Assets/Resources_moved/Models/catheter_with_bag2.fbx
 0 kb	 0.0% Assets/Fonts/QUICKSAND_DASH.OTF
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Font/BebasNeue Bold.otf
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/MagazineMain.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/catheter_bag/pi.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/metallic 1.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/furniture wood.mat
 0 kb	 0.0% Assets/Resources_moved/Models/cloth_with_Scissors.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/AirBall_New.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/supplies.png
 0 kb	 0.0% Assets/Resources_moved/Textures/syringeBarrelNorm.png
 0 kb	 0.0% Assets/Resources_moved/Models/RailCurtains.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/AirBall_New_Tube.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/towelDispenser/towelDispenser.mat
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_textures/skyX53+y.png
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Plant.FBX
 0 kb	 0.0% Assets/Resources_moved/Materials/syringeBarrelDiff.mat
 0 kb	 0.0% Assets/Resources/Animations/rest/Bed_Regulative.controller
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Player0.prefab
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Sink cabinet.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/cloth_with_tweezers.fbx
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Cabinet.FBX
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoorHandleMaterial.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Blanket.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/HospitalWindow.fbx
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_textures/skyX53+x.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/HospitalScene_ForExport.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/chair_lowPoly.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DropDoser.mat
 0 kb	 0.0% Assets/Resources_moved/Models/IV_Pole.fbx
 0 kb	 0.0% Assets/Resources/Audio/Menu/Button_Hover.wav
 0 kb	 0.0% Assets/Resources_moved/Textures/ClothDiffuse9.tif
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Prefabs/Tv.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/FilterCartrige.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/catheter_bag/catheter_bag_tube.002.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/sink metallic.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/ButtocksWound.mat
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/water.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/Cloth.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/wood 1 N.png
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/plastic 1.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/BedsorePlaster_low_BedsorePlaster_Mat_Height.png
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/WalkToGroups/SinkPos.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/syringeBarrel.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/BedsorePlaster_CutedCoverLeft.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/Patient_male_v3_WoundCare.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/TowelOnBed.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/TrayOfGauzes.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/safe_needle_blue_diff.jpg
 0 kb	 0.0% Assets/Standard Assets/Added Models/Prefabs/Cloth/Cloth_+Transparent.tiff
 0 kb	 0.0% Assets/Resources_moved/Prefabs/BrushProthesis.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/Pillow_Norm.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/MedicineBagMat.mat
 0 kb	 0.0% Assets/Resources_moved/Models/clothBox.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/scissors_bandaging_woundCare.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Textures/pillow.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/catheter_bag_twisted.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/hl_cone_em.jpg
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Prefabs/Floor lamp.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Bed_regulative.fbx
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Magazine.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/DoserStrip.mat
 0 kb	 0.0% Assets/Resources_moved/Textures/GauzesAtlas_Diff+AO_50.png
 0 kb	 0.0% Assets/Resources_moved/Textures/BedsorePlaster_low_BedsorePlaster_Mat_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Textures/MagazineCover.jpg
 0 kb	 0.0% Assets/Resources_moved/Prefabs/CWB_inner_open.prefab
 0 kb	 0.0% Assets/Standard Assets/Hospital Room/Models/Materials/metallic1.mat
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/ReflectionProbe-1.exr
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Textures/plant.png
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/BladderSpoolBagConnector.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/cloth_02_inHands.prefab
 0 kb	 0.0% Assets/Resources_moved/Textures/safe_needle_norm.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/materials/Eyes_Diffuse.mat
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/No Name.mat
 0 kb	 0.0% Assets/Resources_moved/Models/clothInHand.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/TowelOnBed1.mat
 0 kb	 0.0% Assets/Resources_moved/Materials/soap_dispenser/soap_dispenser.003.mat
 0 kb	 0.0% Assets/Standard Assets/sky5X/sky5X_textures/skyX53-z.png
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/metallic.mat
 0 kb	 0.0% Assets/Standard Assets/Doctor's office/Models/Materials/Bin.mat
 0 kb	 0.0% Assets/Resources/PostProcessing/Care_Up_PPS.asset
 0 kb	 0.0% Assets/Scenes/Scenes_WoundCare/LightingData.asset
 0 kb	 0.0% Assets/Resources_moved/Models/gloveBox.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/IV_Pole_Plastic.mat
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/TeethTongue_Normal.png
 0 kb	 0.0% Assets/Resources_moved/Models/m_v3/textures/T-ShirtModel3_low_PatientT-Shirt_var5_Albedo.png
 0 kb	 0.0% Assets/Resources_moved/Prefabs/Buildings.prefab
 0 kb	 0.0% Assets/Resources_moved/PlayerAnimartion/Actions_WoundCare.fbx
 0 kb	 0.0% Assets/Resources_moved/Models/BedsorePlaster_CutedCoverRight.fbx
 0 kb	 0.0% Assets/Resources_moved/Animations/WoundCare.controller
 0 kb	 0.0% Assets/Resources_moved/Prefabs/chair_lowPoly.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/CannulaFilter.fbx
 0 kb	 0.0% Assets/Resources_moved/Textures/Cannula_Packed3.jpg
 0 kb	 0.0% Assets/Resources_moved/Prefabs/HospitalDoors.prefab
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/WalkToGroups/DoctorPos.prefab
 0 kb	 0.0% Assets/Resources_moved/Materials/trashbucket_diff.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/SinkHoleBackground.prefab
 0 kb	 0.0% Assets/Resources_moved/Models/Materials/CottonSwabStick.mat
 0 kb	 0.0% Assets/Resources_moved/Prefabs/ClothWithAmpouleTop.prefab
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/Flash.controller
 0 kb	 0.0% Assets/Resources/Animations/VideoPlayer/VideoPanelOpen.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/scrollV_Base.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/xButtonTop_press.png
 0 kb	 0.0% Assets/Resources/Animations/VideoPlayer/VideoPanelIdle_B.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/scrollV_handle.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayerPanel.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayerPregoressBar.png
 0 kb	 0.0% Assets/Resources/Animations/VideoPlayer/VideoTitleHighlight.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlay.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/xButtonTop_hl.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/xButtonTop.png
 0 kb	 0.0% Assets/Resources_moved/Animations/VideoPlayerPanel.controller
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayNextChapter.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoSidePanelButton.png
 0 kb	 0.0% Assets/Resources_moved/Animations/bubble2.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/bg_small.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayPrevChapter.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayerFrame.png
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/UI/UISounds.prefab
 0 kb	 0.0% Assets/Resources/Sprites/nUI/input2_Base_panel.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/bubble.png
 0 kb	 0.0% Assets/Resources/Animations/VideoPlayer/VideoPanelIdle_A.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayerUnity.png
 0 kb	 0.0% Assets/Resources_moved/Animations/bubble0.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPlayerUnity_hl.png
 0 kb	 0.0% Assets/Resources_moved/Animations/bubble1.anim
 0 kb	 0.0% Assets/Resources/Animations/VideoPlayer/VideoPanelClose.anim
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/UI/bubbles.prefab
 0 kb	 0.0% Assets/Resources/Sprites/circleMask.png
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Regular.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-HairlineItalic.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Italic.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-BoldItalic.ttf
 0 kb	 0.0% Assets/Resources/Sprites/circle89.png
 0 kb	 0.0% Assets/gui_flat/Font/Lato-BlackItalic.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Light.ttf
 0 kb	 0.0% Assets/UMenu Pro/Content/Art/UI/Social/vignetteBlack.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/loadProgress.png
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Bold.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-LightItalic.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Hairline.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Black.ttf
 0 kb	 0.0% Assets/Resources/Sprites/nUI/VideoPause.png
 0 kb	 0.0% Assets/myBad Studios/WUSS/Demo/Login/LoginMenu.unity
 0 kb	 0.0% Assets/UMenu Pro/Content/Art/Animations/Home.controller
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/SkipTextLoop.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/caKeyboardOff.png
 0 kb	 0.0% Assets/UMenu Pro/Content/Art/Animations/WindowHomeStart.anim
 0 kb	 0.0% Assets/gui_flat_light/Elements/Additional element sizes/buttons/big/1000x240/button_down_g.png
 0 kb	 0.0% Assets/Resources/Audio/noI.ogg
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/ScrollRect.cs
 0 kb	 0.0% Assets/GUI Kit Mono Round/_PNG/19_Function_Button/Button_Line/line_White/btn_line_white_arrow_prev.png
 0 kb	 0.0% Assets/Scripts/Menu/LoadMenuAfterLoginWP.cs
 0 kb	 0.0% Assets/gui_flat_light/Elements/panels/separator.png
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/ContinueButton.controller
 0 kb	 0.0% Assets/myBad Studios/WUSS/Fonts/DroidSansMono.ttf
 0 kb	 0.0% Assets/Scripts/Game/LeaderboardDB.cs
 0 kb	 0.0% Assets/gui_flat/Font/Lato-HairlineItalic.ttf
 0 kb	 0.0% Assets/Resources_moved/Animations/DebugPanel/idle_closed.anim
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/InputField.cs
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-MediumItalic.ttf
 0 kb	 0.0% Assets/Resources/Sprites/nUI/caKeyboardOn.png
 0 kb	 0.0% Assets/Resources/Sprites/CareUpCoin.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/xButtonTop_hl.png
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/Image.cs
 0 kb	 0.0% Assets/gui_flat_light/Elements/Additional element sizes/buttons/circle/256x256px/x.png
 0 kb	 0.0% Assets/gui_flat_light/Elements/Additional element sizes/buttons/big/500x120px/button_inactive.png
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/EventSystem/EventTrigger.cs
 0 kb	 0.0% Assets/Resources/Sprites/nUI/panel_Login.png
 0 kb	 0.0% Assets/Resources/Sprites/nUI/item_noCheck.png
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/Layout/ContentSizeFitter.cs
 0 kb	 0.0% Assets/Scripts/Avatar/CharacterInfo.cs
 0 kb	 0.0% Assets/Resources/Audio/Menu/Button_Click.wav
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-SemiBoldItalic.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-BlackItalic.ttf
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/Layout/CanvasScaler.cs
 0 kb	 0.0% Assets/Resources/Sprites/nUI/button_NoLines.png
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Light.ttf
 0 kb	 0.0% Assets/gui_flat_light/Elements/Additional element sizes/buttons/big/500x120px/button_g.png
 0 kb	 0.0% Assets/Resources/Animations/UI/CAKeyboardClose.anim
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/SkipKeyText.controller
 0 kb	 0.0% Assets/myBad Studios/WUSS/Scripts/Login/WULoginPrefs.cs
 0 kb	 0.0% Assets/Scripts/Game/SaveLoadManager.cs
 0 kb	 0.0% Assets/gui_flat_light/Elements/Additional element sizes/controls/bar_300x20px.png
 0 kb	 0.0% Packages/com.unity.analytics/Unity.Analytics.Tracker.dll
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/RectMask2D.cs
 0 kb	 0.0% Assets/Resources/NecessaryPrefabs/UI/CAScreenKeyboard.prefab
 0 kb	 0.0% Assets/Scripts/Menu/MainMenu.cs
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-SemiBold.ttf
 0 kb	 0.0% Assets/CAScreenKeyboard.cs
 0 kb	 0.0% Assets/Resources/Sprites/nUI/xButtonTop_press.png
 0 kb	 0.0% Assets/myBad Studios/WUSS/Demo/Achievements/Scripts/WUAView.cs
 0 kb	 0.0% Assets/myBad Studios/WUSS/Resources/WULanguageButton.prefab
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Audio/Confirm.mp3
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/VertexModifiers/Outline.cs
 0 kb	 0.0% Assets/Loading Screen/Content/Art/UI/box.psd
 0 kb	 0.0% Assets/Resources/Sprites/nUI/button_Off.png
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-Medium.ttf
 0 kb	 0.0% Assets/gui_flat/Font/Lato-Bold.ttf
 0 kb	 0.0% Assets/Loading Screen/Content/Art/Animations/ContinueButtonLoop.anim
 0 kb	 0.0% Assets/Resources/Sprites/nUI/xButtonTop.png
 0 kb	 0.0% Assets/gui_flat_light/Elements/Additional element sizes/buttons/big/500x120px/button_down_b.png
 0 kb	 0.0% Assets/gui_flat_light/Font/Poppins-Bold.ttf
 0 kb	 0.0% Assets/Scripts/Menu/TimedPopUp.cs
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/Toggle.cs
 0 kb	 0.0% Assets/Scripts/Menu/FormatSerialCode.cs
 0 kb	 0.0% Assets/Resources/Sprites/nUI/button_Base.png
 0 kb	 0.0% Assets/myBad Studios/WUSS/Fonts/UI/Windowbg.psd
 0 kb	 0.0% Assets/Resources/Animations/UI/CAKeyboard.controller
 0 kb	 0.0% Packages/com.unity.ugui/Runtime/UI/Core/Layout/LayoutElement.cs
